Region,Resource,Zone,Cluster,AnnualSum
MA,MA_natural_gas_combined_cycle,1,1,0.0
CT,CT_natural_gas_combined_cycle,2,1,0.0
ME,ME_natural_gas_combined_cycle,3,1,0.0
MA,MA_solar_pv,1,1,0.0
CT,CT_onshore_wind,2,1,0.0
CT,CT_solar_pv,2,1,0.0
ME,ME_onshore_wind,3,1,0.0
MA,MA_battery,1,0,7.951858456676382e7
CT,CT_battery,2,0,9.35083921486242e7
ME,ME_battery,3,0,7.136995015170266e7
