Resource,Fuel,Zone,AnnualSumCosts
MA_natural_gas_combined_cycle,MA_NG,1,1.8491766609170216e8
CT_natural_gas_combined_cycle,CT_NG,2,9.608482337453932e7
ME_natural_gas_combined_cycle,ME_NG,3,0.0
