Line,1,2
t1,-4543.876088679795,-4000.0
t2,-4543.876088679795,-4000.0
t3,-4543.876088679795,-4000.0
t4,-4266.358737172462,-4000.0
t5,-4321.6992427932955,-4000.0
t6,-4543.876088679795,-4000.0
t7,-4543.876088679795,-4000.0
t8,-4543.876088679795,-4000.0
t9,-4543.876088679795,-4000.0
t10,-4314.20140279098,-4000.0
t11,-2600.8416426600365,-4000.0
t12,-2951.417717012488,-4000.0
t13,-2455.470711047452,-4000.0
t14,-2899.4119069083263,-4000.0
t15,-2682.0829251184355,-4000.0
t16,-3755.6230214669995,-4000.0
t17,-4543.876088679795,-4000.0
t18,-4543.876088679795,-4000.0
t19,-4543.876088679795,-4000.0
t20,-4543.876088679795,-4000.0
t21,-4543.876088679795,-4000.0
t22,-4543.876088679795,-4000.0
t23,-4543.876088679795,-4000.0
t24,-4543.876088679795,-4000.0
t25,-4543.876088679795,-4000.0
t26,-4543.876088679795,-4000.0
t27,-4543.876088679795,-4000.0
t28,-4543.876088679795,-4000.0
t29,-4543.876088679795,-4000.0
t30,-4543.876088679795,-4000.0
t31,-4543.876088679795,-4000.0
t32,-4543.876088679795,-4000.0
t33,-4543.876088679795,-4000.0
t34,-4543.876088679795,-4000.0
t35,-4543.876088679795,-4000.0
t36,-4543.876088679795,-4000.0
t37,-4543.876088679795,-4000.0
t38,-4543.876088679795,-4000.0
t39,-4543.876088679795,-4000.0
t40,-4543.876088679795,-4000.0
t41,-4543.876088679795,-4000.0
t42,-4543.876088679795,-4000.0
t43,-4543.876088679795,-4000.0
t44,-4543.876088679795,-4000.0
t45,-4543.876088679795,-4000.0
t46,-4543.876088679795,-4000.0
t47,-4543.876088679795,-4000.0
t48,-4543.876088679795,-4000.0
t49,-4543.876088679795,-4000.0
t50,-4543.876088679795,-4000.0
t51,-4543.876088679795,-4000.0
t52,-4543.876088679795,-4000.0
t53,-3879.947684803391,-4000.0
t54,-4058.277947461075,-4000.0
t55,-4543.876088679795,-4000.0
t56,-4543.876088679795,-4000.0
t57,-4543.876088679795,-4000.0
t58,-4543.876088679795,-4000.0
t59,-4543.876088679795,-1989.7533994722799
t60,-4543.876088679795,-850.3783409873228
t61,-4543.876088679795,-446.2180774217002
t62,-4543.876088679795,-492.2939537751608
t63,-4543.876088679795,-1382.476718016209
t64,-3989.334041900982,-4000.0
t65,-4543.876088679795,-4000.0
t66,-4543.876088679795,-4000.0
t67,-4543.876088679795,-4000.0
t68,-4543.876088679795,-4000.0
t69,-4543.876088679795,-4000.0
t70,-4543.876088679795,-4000.0
t71,-4543.876088679795,-4000.0
t72,-4543.876088679795,-4000.0
t73,-4543.876088679795,-4000.0
t74,-4543.876088679795,-4000.0
t75,-4543.876088679795,-4000.0
t76,-4543.876088679795,-4000.0
t77,-4543.876088679795,-4000.0
t78,-4543.876088679795,-4000.0
t79,-4543.876088679795,-4000.0
t80,-4543.876088679795,-4000.0
t81,-4543.876088679795,-4000.0
t82,-4432.0843510724935,-4000.0
t83,-4543.876088679795,-2715.47154580143
t84,-4543.876088679795,-2211.4767266893664
t85,-4543.876088679795,-2245.084537736067
t86,-4543.876088679795,-3835.1822558224444
t87,-4543.876088679795,-3366.9790060943737
t88,-4543.876088679795,-4000.0
t89,-4377.542585570604,-4000.0
t90,-4543.876088679795,-4000.0
t91,-4543.876088679795,-4000.0
t92,-4543.876088679795,-4000.0
t93,-4543.876088679795,-4000.0
t94,-4543.876088679795,-4000.0
t95,-4543.876088679795,-4000.0
t96,-4325.711932546312,-4000.0
t97,-3762.244966225096,-4000.0
t98,-3474.47433699676,-4000.0
t99,-3338.6385504728955,-4000.0
t100,-3332.601404405168,-4000.0
t101,-3568.0501010465337,-4000.0
t102,-4283.451910072221,-4000.0
t103,-3905.869539084113,-4000.0
t104,-3567.626258343494,-4000.0
t105,-4543.876088679795,-4000.0
t106,-2371.7766790577584,-4000.0
t107,-2597.5313468808195,-4000.0
t108,-2283.9025618729856,-4000.0
t109,-1880.9876618179608,-4000.0
t110,-1068.3970862065073,-4000.0
t111,-2382.023073287668,-4000.0
t112,-3899.733804819128,-4000.0
t113,-4543.876088679795,-4000.0
t114,-4543.876088679795,-4000.0
t115,-4543.876088679795,-4000.0
t116,-4543.876088679795,-4000.0
t117,-4543.876088679795,-4000.0
