Resource,Fuel,Zone,AnnualSumCosts
MA_natural_gas_combined_cycle,MA_NG,1,2.110411843902173e8
CT_natural_gas_combined_cycle,CT_NG,2,5.734022757310423e7
ME_natural_gas_combined_cycle,ME_NG,3,2.5980848404685877e7
