Zone,1,2,3
t1,36.401587786056936,35.95637513736312,0.1
t2,36.40158778605694,35.95637513736311,0.1
t3,30.533343902118595,30.156515916264144,0.1
t4,36.40158778605694,35.95637513736311,0.1
t5,36.40158778605694,35.95637513736311,0.1
t6,36.40158778605694,35.95637513736311,0.09999999999999998
t7,36.40158778605694,35.95637513736311,0.1
t8,36.40158778605694,35.95637513736311,0.1
t9,30.533343902118595,30.156515916264144,0.1
t10,30.52991457714601,30.156515916264144,0.4453686200378071
t11,30.52991457714601,30.156515916264144,0.4453686200378071
t12,30.52991457714601,30.156515916264144,0.4453686200378071
t13,30.52991457714601,30.156515916264144,0.4453686200378071
t14,30.52991457714601,30.156515916264144,0.4453686200378071
t15,30.533343902118595,30.15990329859227,0.4453686200378071
t16,30.533343902118595,30.15990329859227,0.4453686200378071
t17,36.40158778605694,35.95637513736311,0.4453686200378071
t18,36.40158778605694,35.95637513736311,0.1
t19,36.40158778605694,30.156515916264144,0.1
t20,36.40158778605694,35.95637513736311,0.1
t21,36.40158778605694,35.95637513736311,0.1
t22,36.40158778605694,35.95637513736311,0.1
t23,36.40158778605694,35.95637513736311,0.1
t24,36.40158778605694,35.95637513736311,0.1
t25,30.533343902118595,30.156515916264144,0.1
t26,30.533343902118595,30.156515916264144,0.1
t27,30.533343902118595,30.156515916264144,0.1
t28,30.533343902118595,30.156515916264144,0.1
t29,30.533343902118595,30.156515916264144,0.1
t30,36.40158778605694,30.156515916264144,0.1
t31,36.40158778605694,35.95637513736311,0.1
t32,36.40158778605694,35.95637513736311,0.1
t33,36.40158778605694,35.95637513736311,0.1
t34,30.533343902118595,30.156515916264144,0.1
t35,30.533343902118595,30.156515916264144,0.1
t36,30.533343902118595,30.156515916264144,0.1
t37,30.533343902118595,30.156515916264144,0.1
t38,30.533343902118595,30.156515916264144,0.1
t39,30.533343902118595,30.156515916264144,0.1
t40,36.40158778605694,30.156515916264144,0.1
t41,36.40158778605694,35.95637513736311,0.1
t42,440.45052521310487,35.95637513736311,0.1
t43,133.24610997174352,30.156515916264144,0.1
t44,36.40158778605694,30.156515916264144,0.1
t45,36.40158778605694,30.156515916264144,0.1
t46,36.40158778605694,30.156515916264144,0.1
t47,36.40158778605694,30.156515916264144,0.1
t48,30.533343902118595,30.156515916264144,0.1
t49,30.533343902118595,30.156515916264144,0.1
t50,30.533343902118595,30.156515916264144,0.1
t51,30.533343902118595,30.156515916264144,0.1
t52,30.533343902118595,30.156515916264144,0.1
t53,30.533343902118595,30.15990329859227,0.1
t54,36.40158778605694,35.95637513736311,0.1
t55,36.40158778605694,35.95637513736311,0.1
t56,36.40158778605694,35.95637513736311,0.1
t57,36.40158778605694,30.156515916264144,0.1
t58,30.533343902118595,30.156515916264144,0.1
t59,0.10198489006280309,0.1,0.1
t60,0.10198489006280309,0.1,0.1
t61,0.10123820225757738,0.1,0.1
t62,0.10198489006280309,0.10073755537788583,0.1
t63,0.10198489006280309,0.1,0.1
t64,30.52991457714601,30.156515916264144,0.1
t65,30.533343902118595,30.156515916264144,0.09999999999999998
t66,36.40158778605694,35.95637513736311,0.1
t67,36.40158778605694,35.95637513736311,0.1
t68,36.40158778605694,35.95637513736311,0.1
t69,36.40158778605694,35.95637513736311,0.1
t70,36.40158778605694,30.156515916264144,0.1
t71,36.40158778605694,30.156515916264144,0.1
t72,30.533343902118595,30.156515916264144,0.1
t73,30.533343902118595,30.156515916264144,0.1
t74,30.533343902118595,30.156515916264144,0.1
t75,30.533343902118595,30.156515916264144,0.1
t76,30.533343902118595,30.156515916264144,0.1
t77,30.533343902118595,30.156515916264144,0.1
t78,30.533343902118595,30.156515916264144,0.1
t79,36.40158778605694,30.156515916264144,0.1
t80,36.40158778605694,30.156515916264144,0.1
t81,30.533343902118595,30.156515916264144,0.1
t82,30.52991457714601,30.156515916264144,0.1
t83,0.10198489006280309,0.1,0.1
t84,0.10198489006280309,0.1,0.1
t85,0.10198489006280309,0.1,0.1
t86,0.10198489006280309,0.1,0.1
t87,0.10198489006280309,0.1,0.1
t88,30.533343902118595,30.156515916264144,0.1
t89,36.40158778605694,35.95637513736311,0.1
t90,36.40158778605694,35.95637513736311,0.1
t91,36.40158778605694,35.95637513736311,0.1
t92,36.40158778605694,35.95637513736311,0.1
t93,36.40158778605694,35.95637513736311,0.1
t94,36.40158778605694,35.95637513736311,0.1
t95,36.40158778605694,35.95637513736311,0.4453686200378071
t96,36.40158778605694,35.95637513736311,0.1
t97,36.40158778605694,35.95637513736311,0.1
t98,36.40158778605694,35.95637513736311,0.1
t99,36.40158778605694,35.95637513736311,0.1
t100,36.40158778605694,35.95637513736311,0.1
t101,36.40158778605694,35.95637513736311,0.09999999999999998
t102,36.40158778605694,35.95637513736311,0.1
t103,36.40158778605694,35.95637513736311,0.1
t104,439.2247894637971,433.8528141247416,0.1
t105,36.40158778605694,35.95637513736311,0.1
t106,36.40158778605694,35.95637513736311,0.1
t107,30.533343902118595,30.15990329859227,0.1
t108,30.533343902118595,30.15990329859227,0.4453686200378071
t109,30.533343902118595,30.15990329859227,0.4453686200378071
