Resource,Fuel,Zone,AnnualSumCosts
MA_natural_gas_combined_cycle,MA_NG,1,2.1028468066918474e8
CT_natural_gas_combined_cycle,CT_NG,2,6.007523821949237e7
ME_natural_gas_combined_cycle,ME_NG,3,2.5981617498541754e7
