Region,Resource,Zone,Cluster,AnnualSum
MA,MA_natural_gas_combined_cycle,1,1,1.909702057776014e9
CT,CT_natural_gas_combined_cycle,2,1,5.618674225721465e8
ME,ME_natural_gas_combined_cycle,3,1,1.454630243436225e8
MA,MA_solar_pv,1,1,1.6237415171451812e9
CT,CT_onshore_wind,2,1,1.4522973526995282e9
CT,CT_solar_pv,2,1,1.527858032801305e9
ME,ME_onshore_wind,3,1,1.8423333241681888e9
MA,MA_battery,1,0,7.04829989146575e8
CT,CT_battery,2,0,7.909966566485786e8
ME,ME_battery,3,0,5.562767859055767e8
