Resource,Fuel,Zone,AnnualSumCosts
MA_natural_gas_combined_cycle,MA_NG,1,2.1882640217970008e8
CT_natural_gas_combined_cycle,CT_NG,2,6.010288697641781e7
ME_natural_gas_combined_cycle,ME_NG,3,2.454092133530002e7
