Resource,Fuel,Zone,AnnualSumCosts
MA_natural_gas_combined_cycle,MA_NG,1,1.943699701559982e8
CT_natural_gas_combined_cycle,CT_NG,2,5.5328004980240904e7
ME_natural_gas_combined_cycle,ME_NG,3,2.5168629472274836e7
