Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery,Total
t343,-0.0,-0.0,-0.0,-0.0,8416.010593966437,-0.0,5266.307694,0.0,0.0,0.0,13682.318287966438
t344,-0.0,-0.0,-0.0,-0.0,13994.882863118051,-0.0,5326.307693999999,0.0,0.0,0.0,19321.19055711805
t345,-0.0,-0.0,-0.0,1771.3602240259006,14666.37950810822,796.0706458919209,5409.307694,0.0,0.0,0.0,22643.11807202604
t346,-0.0,-0.0,-0.0,3453.637078514339,14491.481529197132,1575.445179244162,5369.234521660775,0.0,0.0,0.0,24889.79830861641
t347,-0.0,-0.0,-0.0,4647.059739838523,6800.609601684276,2117.4009922821606,4443.125655482991,0.0,0.0,0.0,18008.19598928795
t348,-0.0,-0.0,-0.0,5214.690135816897,11891.60980802334,2397.2278384471892,3961.8957278341472,0.0,0.0,0.0,23465.423510121575
t349,-0.0,-0.0,-0.0,5295.67501721459,13718.285443886174,2442.6412645551177,3869.124745467566,0.0,0.0,0.0,25325.72647112345
t350,-0.0,-0.0,-0.0,5199.229385731883,13728.357880733782,2401.5688277075064,3840.3013376364975,0.0,0.0,0.0,25169.457431809667
t351,-0.0,-0.0,-0.0,4510.857893851494,13984.175893136911,2126.750815304381,4466.026219412939,0.0,0.0,0.0,25087.810821705723
t352,-0.0,-0.0,-0.0,3244.5488392693865,7343.9081707349715,1570.1024232314646,5504.307693999999,0.0,0.0,0.0,17662.867127235822
t353,5.519999999999729,-0.0,-0.0,1459.9365437420454,8327.959382350704,785.0512116157323,5599.307694,243.32844477258163,0.0,0.0,16421.103276481066
t354,42.000000000000256,-0.0,-0.0,-0.0,14589.276714745702,-0.0,5723.307694,2576.7849885146265,0.0,0.0,22931.36939726033
t355,57.000000000000824,-0.0,-0.0,-0.0,14642.147152764072,-0.0,5725.307693999999,2576.7849885146265,0.0,0.0,23001.2398352787
t356,26.676000000000386,-0.0,-0.0,-0.0,9279.010593966437,-0.0,5679.307693999999,2263.1089885146257,0.0,0.0,17248.103276481062
t357,26.676000000000386,-0.0,-0.0,-0.0,13920.018962563487,-0.0,5631.307694,1919.1089885146264,0.0,0.0,21497.111645078112
t358,26.676000000000386,-0.0,-0.0,-0.0,9015.010593966435,-0.0,5552.307693999999,1337.1089885146275,0.0,0.0,15931.103276481062
t359,21.15600000000066,-0.0,-0.0,-0.0,13189.68914485299,-0.0,11065.091550978279,647.6289885146275,0.0,0.0,24923.565684345896
t360,-0.0,-0.0,-0.0,-0.0,12594.702168619682,-0.0,5362.307694,0.0,0.0,0.0,17957.00986261968
t361,-0.0,-0.0,-0.0,-0.0,14231.618847838838,-0.0,5296.307693999999,0.0,0.0,0.0,19527.92654183884
t362,-0.0,-0.0,-0.0,-0.0,8404.010593966437,-0.0,5261.307693999999,0.0,0.0,0.0,13665.318287966436
t363,-0.0,-0.0,-0.0,-0.0,13596.888984976327,-0.0,5247.307694,0.0,0.0,0.0,18844.19667897633
t364,-0.0,-0.0,-0.0,-0.0,8377.010593966435,-0.0,5247.307694,0.0,0.0,0.0,13624.318287966435
t365,-0.0,-0.0,-0.0,-0.0,11826.400892226242,-0.0,5275.307693999999,0.0,0.0,0.0,17101.70858622624
t366,-0.0,-0.0,-0.0,-0.0,12213.81364204471,-0.0,5348.307694,0.0,0.0,0.0,17562.12133604471
t367,-0.0,-0.0,-0.0,-0.0,8609.205773972066,-0.0,5469.307693999999,753.7849885146262,230.80481999437018,0.0,15063.10327648106
t368,-0.0,-0.0,-0.0,-0.0,2986.756007577991,-0.0,5558.307694,1404.7849885146259,6039.254586388445,0.0,15989.103276481062
t369,-0.0,-0.0,-0.0,1760.3168311080335,861.5246345774931,791.7296566316043,5619.307694,368.88573697847704,7220.916114474855,0.0,16622.680667770463
t370,-0.0,-0.0,-0.0,3376.3333280892684,27.770567545990236,1554.7419996949595,5653.307693999999,0.0,6354.180582858892,0.0,16966.33417218911
t371,-0.0,-0.0,-0.0,4549.141655966766,45.18655990636342,2073.9910996789936,3823.8141777963074,0.0,6583.377699388487,0.0,17075.511192736918
t372,-0.0,-0.0,-0.0,5134.441480613728,1053.7281269095336,2189.194276202782,1780.0781997307813,767.1899260164201,5983.0881908541205,0.0,16907.720200327367
t373,-0.0,-0.0,-0.0,4912.101169867336,2888.4694639149584,2158.8073513805653,834.9179520603004,962.3761246472924,4123.733778670912,753.0820479396997,16633.487888481064
