Resource,Fuel,Zone,AnnualSumCosts
MA_natural_gas_combined_cycle,MA_NG,1,2.1150848966195762e8
CT_natural_gas_combined_cycle,CT_NG,2,8.95135719571087e7
ME_natural_gas_combined_cycle,ME_NG,3,3.0004974890017733e6
