Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1,2,3,1,2,2,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5124735674251153,-0.27476118342660905,-0.2717391304347825
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486319,-0.2717391304347825
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486319,-0.2717391304347825
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486319,-0.2717391304347825
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486319,-0.2717391304347825
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486319,-0.2717391304347825
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486319,-0.2717391304347825
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486319,-0.2717391304347825
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486319,-0.2717391304347825
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486319,-0.2717391304347825
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486319,-0.2717391304347825
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486319,-0.2717391304347825
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486319,-0.2717391304347825
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486319,-0.2717391304347825
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486319,-0.2717391304347825
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486319,-0.2717391304347825
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486319,-0.2717391304347825
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486319,-0.2717391304347825
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.577761013601947,-7.726534293486318,-0.2717391304347825
