Resource,Fuel,Zone,AnnualSumCosts
MA_natural_gas_combined_cycle,MA_NG,1,2.1883220163628557e8
CT_natural_gas_combined_cycle,CT_NG,2,8.508237428112128e7
ME_natural_gas_combined_cycle,ME_NG,3,1.1350409071899222e7
