BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t14,10047.17321576463,0.0,-3008.8840389470492,0.0,0.0,0.0,0.0,3429.0323747716857,-21.098556735831636,-10446.222994853435,11056.617897161997,1315.8488427990153,-5938.16430416529,0.0,0.0,0.0,0.0,-3429.0323747716857,-21.098556735831636,-2984.171504288206,0.0,2468.644594674994,-1045.0436069875377,0.0,0.0,0.0,0.0,-0.0,-0.0,-1423.6009876874562
t15,8097.864594905395,0.0,-3008.8840389470492,0.0,0.0,0.0,0.0,5359.460711102744,-33.53976488977651,-10414.901502171315,9105.196913950102,3181.013829320591,-4072.999317643714,0.0,0.0,0.0,0.0,-5206.102201680659,-32.032722549611655,-2975.076501396708,0.0,2544.056645236477,-969.6315564260544,0.0,0.0,0.0,0.0,-153.35850942208444,-1.5070423401648527,-1419.559537048173
t16,5962.816351036983,1152.5431920602978,-1856.3408468867515,0.0,0.0,0.0,0.0,5206.102201680659,-32.03272254961166,-10433.088175341578,8821.717638380791,3325.279856797329,-3928.7332901669765,0.0,0.0,0.0,0.0,-5206.102201680659,-32.03272254961166,-2980.1292807808736,1688.0525277473714,1624.113149471398,-1889.5750521911339,0.0,0.0,0.0,0.0,-0.0,-0.0,-1422.5906250276355
t17,2087.1772070103766,1379.28913050519,-1629.5949084418594,0.0,0.0,0.0,0.0,9154.044286336233,-70.8288473979525,-10920.086868011987,6486.048803958857,4562.337351571366,-2691.6757953929405,0.0,0.0,0.0,0.0,-5206.102201680659,-32.03272254961166,-3118.575435907011,1962.3245684171884,3513.688201662532,-0.0,0.0,0.0,0.0,0.0,-3947.9420846555736,-38.796124848340845,-1489.2745605758057
t18,0.0,2760.332838953437,-248.55119999361187,0.0,0.0,0.0,0.0,9206.10220168066,-71.34041654961165,-11646.543424090874,4687.51878,5565.689618864605,-1688.3235280997005,0.0,0.0,0.0,0.0,-5206.102201680659,-32.032722549611655,-3326.749946534634,7592.80656003038,773.7345371052858,-2739.9536645572457,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1587.27973857842
t19,0.0,2780.5827438742067,-228.3012950728426,0.0,0.0,0.0,0.0,9169.28204591185,-70.97858769561347,-11650.584907017601,7845.15142,3987.378576803021,-3266.634570161284,0.0,0.0,0.0,0.0,-5206.102201680659,-32.032722549611655,-3327.760502411467,9104.104012277965,0.0,-3513.688201662532,0.0,0.0,0.0,0.0,-3963.17984423119,-38.945865146001815,-1588.2901012382406
t20,0.0,2655.759468224418,-353.1245707226311,0.0,0.0,0.0,0.0,9206.10220168066,-71.34041654961165,-11437.396682632836,3559.91662,6099.679300498028,-1154.3338464662772,0.0,0.0,0.0,0.0,-5206.102201680659,-32.032722549611655,-3267.12714980148,2085.6194391007275,3513.688201662532,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1559.9999467632592
t21,0.0,2446.107541400539,-562.7764975465102,0.0,0.0,0.0,0.0,9206.10220168066,-71.34041654961165,-11018.092828985078,6041.12744,4799.451093764873,-2454.562053199432,0.0,0.0,0.0,0.0,-5206.102201680659,-32.032722549611655,-3147.8815563351714,9055.405170816008,0.0,-3513.688201662532,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1502.4092751534758
t22,0.0,2101.065936531361,-907.8181024156884,0.0,0.0,0.0,0.0,9206.10220168066,-71.34041654961165,-10328.009619246719,5272.06779,5085.451720773644,-2168.5614261906608,0.0,0.0,0.0,0.0,-5206.102201680659,-32.032722549611655,-2950.823160352713,8960.431080792854,0.0,-3513.688201662532,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1407.435185130324
t23,0.0,1715.1043170290866,-1293.7797219179627,0.0,0.0,0.0,0.0,9206.10220168066,-71.34041654961165,-9556.08638024217,6858.873960000001,4181.392767260418,-3072.6203797038884,0.0,0.0,0.0,0.0,-5206.102201680659,-32.032722549611655,-2729.5114233262593,8855.353364171495,0.0,-3513.688201662532,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1302.3574685089645
