Zone,1,2,3,Total
t53,0.0,0.0,0.0,0.0
t54,0.0,0.0,0.0,0.0
t55,0.0,0.0,0.0,0.0
t56,0.0,0.0,0.0,0.0
t57,0.0,0.0,0.0,0.0
t58,0.0,0.0,0.0,0.0
t59,0.0,0.0,0.0,0.0
t60,0.0,0.0,0.0,0.0
t61,0.0,0.0,0.0,0.0
t62,0.0,0.0,0.0,0.0
t63,0.0,0.0,0.0,0.0
t64,0.0,0.0,0.0,0.0
t65,0.0,0.0,0.0,0.0
t66,0.0,0.0,0.0,0.0
t67,0.0,0.0,0.0,0.0
t68,0.0,0.0,0.0,0.0
t69,0.0,0.0,0.0,0.0
t70,0.0,0.0,0.0,0.0
t71,0.0,0.0,0.0,0.0
t72,0.0,0.0,0.0,0.0
t73,0.0,0.0,0.0,0.0
t74,0.0,0.0,0.0,0.0
t75,0.0,0.0,0.0,0.0
t76,0.0,0.0,0.0,0.0
t77,0.0,0.0,0.0,0.0
t78,0.0,0.0,0.0,0.0
t79,0.0,0.0,0.0,0.0
t80,0.0,0.0,0.0,0.0
t81,0.0,0.0,0.0,0.0
t82,0.0,0.0,0.0,0.0
t83,0.0,0.0,0.0,0.0
t84,0.0,0.0,0.0,0.0
t85,0.0,0.0,0.0,0.0
t86,0.0,0.0,0.0,0.0
t87,0.0,0.0,0.0,0.0
t88,0.0,0.0,0.0,0.0
t89,0.0,0.0,0.0,0.0
t90,919.1833410781674,0.0,0.0,919.1833410781674
t91,1011.0037044366982,0.0,0.0,1011.0037044366982
t92,1011.0037044366982,0.0,0.0,1011.0037044366982
t93,1011.0037044366982,0.0,0.0,1011.0037044366982
t94,1011.0037044366982,0.0,0.0,1011.0037044366982
t95,1011.0037044366982,0.0,0.0,1011.0037044366982
t96,1011.0037044366982,0.0,0.0,1011.0037044366982
t97,1011.0037044366982,0.0,0.0,1011.0037044366982
t98,1011.0037044366982,0.0,0.0,1011.0037044366982
t99,1011.0037044366982,0.0,0.0,1011.0037044366982
t100,1011.0037044366982,0.0,0.0,1011.0037044366982
t101,1011.0037044366982,0.0,0.0,1011.0037044366982
t102,1011.0037044366982,0.0,0.0,1011.0037044366982
t103,1011.0037044366982,0.0,0.0,1011.0037044366982
t104,1011.0037044366982,0.0,0.0,1011.0037044366982
t105,1011.0037044366982,0.0,0.0,1011.0037044366982
t106,378.19566762737145,0.0,0.0,378.19566762737145
t107,378.19566762737145,0.0,0.0,378.19566762737145
t108,378.19566762737145,0.0,0.0,378.19566762737145
t109,378.19566762737145,0.0,0.0,378.19566762737145
t110,378.19566762737145,0.0,0.0,378.19566762737145
t111,378.19566762737145,0.0,0.0,378.19566762737145
t112,808.1104009131868,0.0,0.0,808.1104009131868
t113,808.1104009131868,0.0,0.0,808.1104009131868
t114,808.1104009131868,0.0,0.0,808.1104009131868
t115,808.1104009131868,0.0,0.0,808.1104009131868
t116,808.1104009131868,0.0,0.0,808.1104009131868
t117,808.1104009131868,0.0,0.0,808.1104009131868
t118,808.1104009131868,0.0,0.0,808.1104009131868
t119,808.1104009131868,0.0,0.0,808.1104009131868
t120,808.1104009131868,0.0,0.0,808.1104009131868
t121,378.19566762737145,0.0,0.0,378.19566762737145
t122,378.19566762737145,0.0,0.0,378.19566762737145
t123,378.19566762737145,0.0,0.0,378.19566762737145
t124,378.19566762737145,0.0,0.0,378.19566762737145
t125,378.19566762737145,0.0,0.0,378.19566762737145
t126,378.19566762737145,0.0,0.0,378.19566762737145
t127,378.19566762737145,0.0,0.0,378.19566762737145
t128,808.1104009131868,0.0,0.0,808.1104009131868
t129,808.1104009131868,0.0,0.0,808.1104009131868
t130,808.1104009131868,0.0,0.0,808.1104009131868
t131,808.1104009131868,0.0,0.0,808.1104009131868
t132,808.1104009131868,0.0,0.0,808.1104009131868
t133,808.1104009131868,0.0,0.0,808.1104009131868
t134,709.7045305942485,0.0,0.0,709.7045305942485
t135,808.1104009131868,0.0,0.0,808.1104009131868
t136,808.1104009131868,0.0,0.0,808.1104009131868
t137,808.1104009131868,0.0,0.0,808.1104009131868
t138,808.1104009131868,0.0,0.0,808.1104009131868
t139,808.1104009131868,0.0,0.0,808.1104009131868
t140,666.7949011354422,0.0,0.0,666.7949011354422
t141,506.27020271394696,0.0,0.0,506.27020271394696
t142,289.18345174691274,0.0,0.0,289.18345174691274
t143,0.0,0.0,0.0,0.0
t144,0.0,0.0,0.0,0.0
t145,0.0,0.0,0.0,0.0
t146,0.0,0.0,0.0,0.0
t147,0.0,0.0,0.0,0.0
t148,0.0,0.0,0.0,0.0
t149,0.0,0.0,0.0,0.0
t150,0.0,0.0,0.0,0.0
t151,0.0,0.0,0.0,0.0
t152,0.0,0.0,0.0,0.0
t153,0.0,0.0,0.0,0.0
t154,0.0,0.0,0.0,0.0
t155,0.0,0.0,0.0,0.0
t156,0.0,0.0,0.0,0.0
t157,0.0,0.0,0.0,0.0
t158,0.0,0.0,0.0,0.0
t159,0.0,0.0,0.0,0.0
t160,0.0,0.0,0.0,0.0
t161,0.0,0.0,0.0,0.0
t162,0.0,0.0,0.0,0.0
