Zone,1,2,3,Total
AnnualSum,4.210019280603909e6,2.1087105743664172e6,61853.53509590791,6.380583390066234e6
t1,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0
t15,3.226556293256522e-14,0.0,0.0,3.226556293256522e-14
t16,-1.1781686737322162e-14,0.0,0.0,-1.1781686737322162e-14
t17,37.82631000123582,0.0,0.0,37.82631000123582
t18,74.87344064184418,0.0,0.0,74.87344064184418
t19,71.13174480243194,0.0,0.0,71.13174480243194
t20,33.289656567538074,0.0,0.0,33.289656567538074
t21,33.289656567538074,0.0,0.0,33.289656567538074
t22,33.289656567538074,0.0,0.0,33.289656567538074
t23,9.275525693467001,0.0,0.0,9.275525693467001
t24,0.0,0.0,0.0,0.0
t25,0.0,0.0,0.0,0.0
t26,0.0,0.0,0.0,0.0
t27,0.0,0.0,0.0,0.0
t28,0.0,0.0,0.0,0.0
t29,0.0,0.0,0.0,0.0
t30,0.0,0.0,0.0,0.0
t31,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,0.0
t34,0.0,0.0,0.0,0.0
t35,0.0,0.0,0.0,0.0
t36,0.0,0.0,0.0,0.0
t37,0.0,0.0,0.0,0.0
t38,0.0,0.0,0.0,0.0
t39,0.0,0.0,0.0,0.0
t40,0.0,0.0,0.0,0.0
t41,150.56257951358782,0.0,0.0,150.56257951358782
t42,282.0072706746276,0.0,0.0,282.0072706746276
t43,225.6815785184116,0.0,0.0,225.6815785184116
t44,124.26055662782288,0.0,0.0,124.26055662782288
t45,124.26055662782288,0.0,0.0,124.26055662782288
t46,124.26055662782288,0.0,0.0,124.26055662782288
t47,28.675513067959116,0.0,0.0,28.675513067959116
t48,0.0,0.0,0.0,0.0
t49,0.0,0.0,0.0,0.0
t50,0.0,0.0,0.0,0.0
t51,0.0,0.0,0.0,0.0
t52,0.0,0.0,0.0,0.0
t53,0.0,0.0,0.0,0.0
t54,0.0,0.0,0.0,0.0
t55,0.0,0.0,0.0,0.0
t56,0.0,0.0,0.0,0.0
t57,0.0,0.0,0.0,0.0
t58,0.0,0.0,0.0,0.0
t59,0.0,0.0,0.0,0.0
t60,0.0,0.0,0.0,0.0
t61,0.0,0.0,0.0,0.0
t62,0.0,0.0,0.0,0.0
t63,0.0,0.0,0.0,0.0
t64,0.0,0.0,0.0,0.0
t65,0.0,0.0,0.0,0.0
t66,0.0,0.0,0.0,0.0
t67,0.0,0.0,0.0,0.0
t68,0.0,0.0,0.0,0.0
t69,0.0,0.0,0.0,0.0
t70,0.0,0.0,0.0,0.0
t71,0.0,0.0,0.0,0.0
t72,0.0,0.0,0.0,0.0
t73,0.0,0.0,0.0,0.0
t74,0.0,0.0,0.0,0.0
t75,0.0,0.0,0.0,0.0
t76,0.0,0.0,0.0,0.0
t77,0.0,0.0,0.0,0.0
t78,0.0,0.0,0.0,0.0
t79,0.0,0.0,0.0,0.0
t80,0.0,0.0,0.0,0.0
t81,0.0,0.0,0.0,0.0
t82,0.0,0.0,0.0,0.0
t83,0.0,0.0,0.0,0.0
t84,0.0,0.0,0.0,0.0
t85,0.0,0.0,0.0,0.0
t86,0.0,0.0,0.0,0.0
t87,0.0,0.0,0.0,0.0
t88,0.0,0.0,0.0,0.0
t89,22.91861986536365,0.0,0.0,22.91861986536365
t90,110.32690259744248,0.0,0.0,110.32690259744248
t91,114.54909499583871,0.0,0.0,114.54909499583871
t92,53.60897645805252,0.0,0.0,53.60897645805252
t93,53.60897645805252,0.0,0.0,53.60897645805252
t94,53.60897645805252,0.0,0.0,53.60897645805252
t95,39.059031277516866,0.0,0.0,39.059031277516866
t96,0.0,0.0,0.0,0.0
t97,0.0,0.0,0.0,0.0
t98,0.0,0.0,0.0,0.0
t99,0.0,0.0,0.0,0.0
t100,0.0,0.0,0.0,0.0
t101,0.0,0.0,0.0,0.0
t102,0.0,0.0,0.0,0.0
t103,44.29791710742768,0.0,0.0,44.29791710742768
t104,96.81935932869804,0.0,0.0,96.81935932869804
t105,40.537525470454185,0.0,0.0,40.537525470454185
t106,40.537525470454185,0.0,0.0,40.537525470454185
t107,40.537525470454185,0.0,0.0,40.537525470454185
t108,40.537525470454185,0.0,0.0,40.537525470454185
t109,40.537525470454185,0.0,0.0,40.537525470454185
t110,40.537525470454185,0.0,0.0,40.537525470454185
t111,40.537525470454185,0.0,0.0,40.537525470454185
t112,40.53752547046199,0.0,0.0,40.53752547046199
t113,46.15785977002091,0.0,0.0,46.15785977002091
t114,130.12603253416205,0.0,0.0,130.12603253416205
t115,110.56585185882886,0.0,0.0,110.56585185882886
t116,32.155879846119866,0.0,0.0,32.155879846119866
t117,16.799766563839302,0.0,0.0,16.799766563839302
t118,16.799766563839302,0.0,0.0,16.799766563839302
t119,13.23168277714464,0.0,0.0,13.23168277714464
t120,0.0,0.0,0.0,0.0
t121,0.0,0.0,0.0,0.0
t122,0.0,0.0,0.0,0.0
t123,0.0,0.0,0.0,0.0
t124,0.0,0.0,0.0,0.0
t125,0.0,0.0,0.0,0.0
t126,0.0,0.0,0.0,0.0
t127,0.0,0.0,0.0,0.0
t128,0.0,0.0,0.0,0.0
t129,0.0,0.0,0.0,0.0
t130,0.0,0.0,0.0,0.0
t131,0.0,0.0,0.0,0.0
t132,0.0,0.0,0.0,0.0
t133,0.0,0.0,0.0,0.0
t134,0.0,0.0,0.0,0.0
t135,0.0,0.0,0.0,0.0
t136,0.0,0.0,0.0,0.0
t137,0.0,0.0,0.0,0.0
t138,0.0,0.0,0.0,0.0
t139,0.0,0.0,0.0,0.0
t140,0.0,0.0,0.0,0.0
t141,0.0,0.0,0.0,0.0
t142,0.0,0.0,0.0,0.0
t143,0.0,0.0,0.0,0.0
t144,0.0,0.0,0.0,0.0
t145,0.0,0.0,0.0,0.0
t146,0.0,0.0,0.0,0.0
t147,0.0,0.0,0.0,0.0
t148,0.0,0.0,0.0,0.0
t149,0.0,0.0,0.0,0.0
t150,0.0,0.0,0.0,0.0
t151,0.0,0.0,0.0,0.0
t152,0.0,0.0,0.0,0.0
t153,0.0,0.0,0.0,0.0
t154,0.0,0.0,0.0,0.0
t155,0.0,0.0,0.0,0.0
t156,0.0,0.0,0.0,0.0
t157,0.0,0.0,0.0,0.0
t158,0.0,0.0,0.0,0.0
t159,0.0,0.0,0.0,0.0
t160,0.0,0.0,0.0,0.0
t161,0.0,0.0,0.0,0.0
t162,0.0,0.0,0.0,0.0
