Resource,Fuel,Zone,AnnualSumCosts
MA_natural_gas_combined_cycle,MA_NG,1,2.1137754997856963e8
CT_natural_gas_combined_cycle,CT_NG,2,8.948430549080458e7
ME_natural_gas_combined_cycle,ME_NG,3,3.240724228545488e6
