Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle
t735,0.0,3008.2,0.0
t736,0.0,8704.2,0.0
t737,0.0,8900.0,0.0
t738,0.0,8900.0,0.0
t739,0.0,8900.0,0.0
t740,0.0,8900.0,0.0
t741,0.0,8900.0,0.0
t742,0.0,8900.0,0.0
t743,0.0,8900.0,0.0
t744,0.0,8900.0,0.0
t745,0.0,8900.0,0.0
t746,0.0,8900.0,0.0
t747,0.0,8900.0,0.0
t748,0.0,8900.0,0.0
t749,0.0,8900.0,0.0
t750,0.0,8900.0,0.0
t751,0.0,8900.0,0.0
t752,0.0,8900.0,0.0
t753,0.0,8704.2,0.0
t754,0.0,3008.2,0.0
t755,0.0,3008.2,0.0
t756,0.0,3008.2,0.0
t757,0.0,3008.2,0.0
t758,0.0,3008.2,0.0
t759,0.0,3008.2,0.0
t760,0.0,5975.127118419492,0.0
t761,0.0,8900.0,0.0
t762,0.0,8900.0,0.0
t763,0.0,8900.0,0.0
t764,0.0,8900.0,0.0
t765,0.0,8900.0,0.0
t766,0.0,8900.0,0.0
t767,0.0,8900.0,0.0
t768,0.0,8900.0,0.0
t769,0.0,8900.0,0.0
t770,0.0,8900.0,0.0
t771,0.0,8900.0,0.0
t772,0.0,8900.0,0.0
t773,0.0,8900.0,0.0
t774,0.0,8900.0,0.0
t775,0.0,8900.0,0.0
t776,0.0,8900.0,0.0
t777,0.0,8704.2,0.0
t778,0.0,3008.2,0.0
t779,0.0,3008.2,0.0
t780,0.0,3008.2,0.0
t781,0.0,3008.2,0.0
t782,0.0,3008.2,0.0
t783,0.0,3008.2,0.0
t784,0.0,3008.2,0.0
t785,0.0,3008.2,0.0
t786,0.0,4721.6730922014885,0.0
t787,0.0,8900.0,0.0
t788,0.0,5857.509742321847,0.0
t789,0.0,3206.2589862514596,0.0
t790,0.0,8900.0,0.0
t791,0.0,8900.0,0.0
t792,0.0,7550.061911979798,0.0
t793,0.0,3008.2,0.0
t794,0.0,3008.2,0.0
t795,0.0,3008.2,0.0
t796,0.0,3008.2,0.0
t797,0.0,3008.2,0.0
t798,0.0,3008.2,0.0
t799,0.0,6071.2744317757515,0.0
t800,0.0,3008.2,0.0
t801,0.0,3008.2,0.0
t802,0.0,3008.2,0.0
t803,0.0,3008.2,0.0
t804,0.0,3008.2,0.0
t805,0.0,3008.2,0.0
t806,0.0,3008.2,0.0
t807,0.0,3008.2,0.0
t808,0.0,3008.2,0.0
t809,0.0,3008.2,0.0
t810,0.0,5587.595249778921,0.0
t811,0.0,8900.0,0.0
t812,0.0,8900.0,0.0
t813,0.0,8900.0,0.0
t814,0.0,8900.0,0.0
t815,0.0,8900.0,0.0
t816,0.0,8900.0,0.0
t817,0.0,8900.0,0.0
t818,0.0,8900.0,0.0
t819,0.0,8900.0,0.0
t820,0.0,8900.0,0.0
t821,0.0,8900.0,0.0
t822,0.0,8900.0,0.0
t823,0.0,8900.0,0.0
t824,0.0,8704.2,0.0
t825,0.0,3008.2,0.0
t826,0.0,3008.2,0.0
t827,0.0,3008.2,0.0
t828,0.0,3008.2,0.0
t829,0.0,3008.2,0.0
t830,0.0,3008.2,0.0
t831,0.0,3008.2,0.0
t832,0.0,3008.2,0.0
t833,0.0,3264.4059986677007,0.0
t834,0.0,8900.0,0.0
t835,0.0,6704.3941964565365,0.0
t836,0.0,8900.0,0.0
t837,0.0,8900.0,0.0
t838,0.0,8900.0,0.0
t839,0.0,8900.0,0.0
t840,0.0,8900.0,0.0
t841,4467.743247890034,8900.0,0.0
t842,4467.743247890034,8900.0,0.0
t843,4467.743247890034,8900.0,0.0
t844,4467.743247890034,8900.0,0.0
t845,4467.743247890034,8900.0,0.0
t846,4467.743247890034,6553.951825158177,0.0
t847,4467.743247890034,8900.0,0.0
t848,4467.743247890034,8900.0,0.0
t849,4467.743247890034,7203.646521342401,0.0
t850,4467.743247890034,3008.2,0.0
t851,4467.743247890034,3008.2,0.0
t852,4467.743247890034,3008.2,0.0
t853,4467.743247890034,3008.2,0.0
t854,4467.743247890034,3008.2,0.0
t855,4467.743247890034,3008.2,0.0
t856,4467.743247890034,3008.2,0.0
t857,4467.743247890034,3204.0,0.0
t858,4467.743247890034,8900.0,0.0
t859,4467.743247890034,8900.0,0.0
t860,4467.743247890034,3204.0,0.0
t861,4467.743247890034,8900.0,0.0
