Zone,1,2,3
t1,2.889148296327136,0.10278028875247829,0.1
t2,8.57942729548884,6.870820107143988,0.09999999999999996
t3,8.57942729548884,6.870820107143988,0.09999999999999996
t4,8.57942729548884,8.444919786323238,0.09999999999999996
t5,8.57942729548884,8.444919786323238,0.1
t6,10.463595575955623,8.444919786323238,0.09999999999999996
t7,10.463595575955623,8.444919786323238,0.09999999999999996
t8,10.463595575955623,8.444919786323238,0.09999999999999996
t9,8.57942729548884,6.870820107143988,0.09999999999999996
t10,6.955894756824727,6.870820107143988,0.4453686200378071
t11,6.955894756824727,6.870820107143988,0.4453686200378071
t12,6.955894756824727,6.870820107143988,0.4453686200378071
t13,6.955894756824727,6.870820107143988,0.4453686200378071
t14,6.955894756824727,6.870820107143988,0.4453686200378071
t15,8.549484973768092,8.444919786323238,0.4453686200378071
t16,8.57942729548884,8.444919786323238,0.4453686200378071
t17,10.463595575955623,8.444919786323238,0.4453686200378071
t18,42.78040000000003,8.444919786323238,0.1
t19,204.83745788181102,6.870820107143988,0.1
t20,10.463595575955623,8.444919786323238,0.09999999999999996
t21,10.463595575955623,8.444919786323238,0.1
t22,10.463595575955623,8.444919786323238,0.1
t23,10.463595575955623,6.870820107143988,0.1
t24,10.463595575955623,8.444919786323238,0.1
t25,8.57942729548884,6.870820107143988,0.1
t26,8.57942729548884,6.870820107143988,0.1
t27,8.57942729548884,6.870820107143988,0.1
t28,8.57942729548884,6.870820107143988,0.1
t29,8.57942729548884,6.870820107143988,0.1
t30,10.463595575955623,6.870820107143988,0.1
t31,10.463595575955623,8.444919786323238,0.1
t32,10.463595575955623,8.444919786323238,0.1
t33,10.463595575955623,8.444919786323238,0.1
t34,8.57942729548884,6.870820107143988,0.1
t35,8.57942729548884,6.870820107143988,0.1
t36,8.57942729548884,6.870820107143988,0.1
t37,8.57942729548884,6.870820107143988,0.1
t38,8.57942729548884,6.870820107143988,0.1
t39,8.57942729548884,6.870820107143988,0.09999999999999996
t40,10.463595575955623,6.870820107143988,0.1
t41,10.463595575955623,8.444919786323238,0.1
t42,204.83745788181105,6.870820107143988,0.1
t43,42.7804,6.870820107143988,0.1
t44,10.463595575955623,6.870820107143988,0.1
t45,10.463595575955623,6.870820107143988,0.1
t46,10.463595575955623,6.870820107143988,0.1
t47,10.463595575955623,6.870820107143988,0.1
t48,8.57942729548884,6.870820107143988,0.1
t49,8.57942729548884,6.870820107143988,0.1
t50,8.57942729548884,6.870820107143988,0.1
t51,8.57942729548884,6.870820107143988,0.1
t52,8.57942729548884,6.870820107143988,0.1
t53,8.57942729548884,8.444919786323238,0.1
t54,8.57942729548884,8.444919786323238,0.1
t55,10.463595575955623,8.444919786323238,0.1
t56,10.463595575955623,8.444919786323238,0.1
t57,10.463595575955623,6.870820107143988,0.1
t58,8.57942729548884,6.870820107143988,0.1
t59,0.10198489006280309,0.1,0.1
