BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
t15,5092.515416719096,0.0,-1410.7880101890355,0.0,0.0,0.0,0.0,6682.082925118435,-55.81033164849533,-10308.0,5642.585562766931,0.0,-0.0,0.0,0.0,0.0,0.0,-2682.082925118435,-16.502637648495334,-2944.0,806.477316065086,4637.8303779349135,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1405.0
t16,3749.8446459359807,0.0,-1117.0519310351704,0.0,0.0,0.0,0.0,7755.623021467,-62.4157363678102,-10326.0,6727.731063834811,0.0,-0.0,0.0,0.0,0.0,0.0,-3755.623021467,-23.108042367810203,-2949.0,1965.0242486361021,3482.283445363897,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1408.0
t17,1312.5660449808026,627.277688584749,-0.0,0.0,0.0,0.0,0.0,8937.846125208394,-69.68985877394805,-10808.0,5290.82399557854,2763.404294403804,-0.0,0.0,0.0,0.0,0.0,-4937.846125208396,-30.38216477394806,-3086.0,4961.92074711488,551.3869468851195,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1474.0
t18,0.0,2658.843733565551,-0.0,0.0,0.0,0.0,0.0,8937.846125208394,-69.68985877394805,-11527.0,5249.236371974446,3010.9919180078973,-0.0,0.0,0.0,0.0,0.0,-4937.846125208396,-30.38216477394806,-3292.0,5610.307693999999,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1571.0
t19,0.0,2662.8437335655517,-0.0,0.0,0.0,0.0,0.0,8937.846125208394,-69.68985877394805,-11531.0,8785.256360617925,0.0,-524.028070635578,0.0,0.0,0.0,0.0,-4937.846125208396,-30.38216477394806,-3293.0,10597.88416069287,0.0,-4986.576466692872,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1572.0
t20,0.0,2451.8437335655517,-0.0,0.0,0.0,0.0,0.0,8937.846125208394,-69.68985877394805,-11320.0,3986.5107063955766,4214.717583586767,-0.0,0.0,0.0,0.0,0.0,-4937.846125208396,-30.38216477394806,-3233.0,11064.43508245742,0.0,-5481.12738845742,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1544.0
t21,0.0,2895.8437335655512,-0.0,0.0,0.0,0.0,0.0,8073.528046512102,-64.37178007765317,-10905.0,6765.051485464315,448.54064712543897,-0.0,0.0,0.0,0.0,0.0,-4073.5280465121014,-25.064086077653172,-3115.0,5526.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1487.0
t22,0.0,1353.8437335655508,-0.0,0.0,0.0,0.0,0.0,8937.846125208394,-69.68985877394805,-10222.0,5903.833413288839,1984.3948766935046,-0.0,0.0,0.0,0.0,0.0,-4937.846125208396,-30.38216477394806,-2920.0,11031.632985874629,0.0,-5599.325291874628,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1393.0
t23,0.0,589.8437335655515,-0.0,0.0,0.0,0.0,0.0,8937.846125208394,-69.68985877394805,-9458.0,7680.79070215915,0.0,-11.562412176807404,0.0,0.0,0.0,0.0,-4937.846125208396,-30.38216477394806,-2701.0,5328.307693999999,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1289.0
t24,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,8751.54355423843,-68.54355423842938,-8683.0,6927.102405914516,332.6770085623432,-0.0,0.0,0.0,0.0,0.0,-4751.543554238429,-29.23586023842938,-2479.0,5223.307694,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1184.0
