Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle
t88,0.0,0.0,0.0
t89,309.436180614911,0.0,0.0
t90,1933.5342891749135,0.0,0.0
t91,1987.8665645478154,0.0,0.0
t92,930.3215522083777,0.0,0.0
t93,930.3215522083777,0.0,0.0
t94,930.3215522083777,0.0,0.0
t95,930.3215522083777,0.0,0.0
t96,930.3215522083777,0.0,0.0
t97,930.3215522083777,0.0,0.0
t98,930.3215522083777,0.0,0.0
t99,930.3215522083777,0.0,0.0
t100,930.3215522083777,0.0,0.0
t101,930.3215522083777,0.0,0.0
t102,930.3215522083777,0.0,0.0
t103,930.3215522083777,0.0,0.0
t104,930.3215522083777,0.0,0.0
t105,930.3215522083777,0.0,0.0
t106,930.3215522083777,0.0,0.0
t107,930.3215522083777,0.0,0.0
t108,930.3215522083777,0.0,0.0
t109,930.3215522083777,0.0,0.0
t110,930.3215522083777,0.0,0.0
t111,930.3215522083777,0.0,0.0
t112,930.3215522083777,0.0,0.0
t113,930.3215522083777,0.0,0.0
t114,2176.4665645478153,0.0,0.0
t115,1913.5665645478155,0.0,0.0
t116,546.2279632372157,0.0,0.0
t117,69.54479999999987,0.0,0.0
t118,69.54479999999987,0.0,0.0
t119,69.54479999999987,0.0,0.0
t120,0.0,0.0,0.0
t121,0.0,0.0,0.0
t122,0.0,0.0,0.0
t123,0.0,0.0,0.0
t124,0.0,0.0,0.0
t125,0.0,0.0,0.0
t126,0.0,0.0,0.0
t127,0.0,0.0,0.0
t128,0.0,0.0,0.0
t129,0.0,0.0,0.0
t130,0.0,0.0,0.0
t131,0.0,0.0,0.0
t132,0.0,0.0,0.0
t133,0.0,0.0,0.0
t134,0.0,0.0,0.0
t135,0.0,0.0,0.0
t136,0.0,0.0,0.0
t137,0.0,0.0,0.0
t138,0.0,0.0,0.0
t139,0.0,0.0,0.0
t140,0.0,0.0,0.0
t141,0.0,0.0,0.0
t142,0.0,0.0,0.0
t143,0.0,0.0,0.0
t144,0.0,0.0,0.0
t145,0.0,0.0,0.0
t146,0.0,0.0,0.0
t147,0.0,0.0,0.0
t148,0.0,0.0,0.0
t149,0.0,0.0,0.0
t150,0.0,0.0,0.0
t151,0.0,0.0,0.0
t152,0.0,0.0,0.0
t153,0.0,0.0,0.0
t154,0.0,0.0,0.0
t155,0.0,0.0,0.0
t156,0.0,0.0,0.0
t157,0.0,0.0,0.0
t158,0.0,0.0,0.0
t159,0.0,0.0,0.0
t160,0.0,0.0,0.0
t161,0.0,0.0,0.0
t162,0.0,0.0,0.0
t163,0.0,0.0,0.0
t164,0.0,0.0,0.0
t165,0.0,0.0,0.0
t166,0.0,0.0,0.0
t167,0.0,0.0,0.0
t168,0.0,0.0,0.0
t169,0.0,0.0,0.0
t170,0.0,0.0,0.0
t171,0.0,0.0,0.0
t172,0.0,0.0,0.0
t173,0.0,0.0,0.0
t174,0.0,0.0,0.0
t175,0.0,0.0,0.0
t176,0.0,0.0,0.0
t177,0.0,0.0,0.0
t178,0.0,0.0,0.0
t179,0.0,0.0,0.0
t180,0.0,0.0,0.0
t181,0.0,0.0,0.0
t182,0.0,0.0,0.0
t183,0.0,0.0,0.0
t184,0.0,0.0,0.0
t185,868.394334213172,0.0,0.0
t186,1148.2765645478196,0.0,0.0
t187,1177.9965645478137,0.0,0.0
t188,551.3023922083769,0.0,0.0
t189,551.3023922083769,0.0,0.0
t190,551.3023922083769,0.0,0.0
t191,0.0,0.0,0.0
t192,0.0,0.0,0.0
t193,0.0,0.0,0.0
t194,0.0,0.0,0.0
t195,0.0,0.0,0.0
t196,0.0,0.0,0.0
t197,0.0,0.0,0.0
t198,0.0,0.0,0.0
t199,0.0,0.0,0.0
t200,0.0,0.0,0.0
t201,0.0,0.0,0.0
t202,0.0,0.0,0.0
t203,0.0,0.0,0.0
t204,0.0,0.0,0.0
t205,0.0,0.0,0.0
t206,0.0,0.0,0.0
t207,0.0,0.0,0.0
t208,0.0,0.0,0.0
t209,3541.287454213173,0.0,0.0
t210,4803.836564547815,0.0,0.0
t211,4060.8365645478198,0.0,0.0
t212,2248.1955122083773,0.0,0.0
t213,2248.1955122083773,0.0,0.0
t214,2248.1955122083773,0.0,0.0
t215,0.0,0.0,0.0
t216,0.0,0.0,0.0
t217,0.0,0.0,0.0
t218,0.0,0.0,0.0
t219,0.0,0.0,0.0
t220,0.0,0.0,0.0
t221,0.0,0.0,0.0
t222,0.0,0.0,0.0
t223,0.0,0.0,0.0
t224,0.0,0.0,0.0
t225,0.0,0.0,0.0
t226,0.0,0.0,0.0
t227,0.0,0.0,0.0
t228,0.0,0.0,0.0
t229,0.0,0.0,0.0
t230,0.0,0.0,0.0
t231,0.0,0.0,0.0
t232,0.0,0.0,0.0
t233,0.0,0.0,0.0
t234,0.0,0.0,0.0
t235,0.0,0.0,0.0
t236,0.0,0.0,0.0
t237,0.0,0.0,0.0
t238,0.0,0.0,0.0
t239,0.0,0.0,0.0
t240,0.0,0.0,0.0
t241,0.0,0.0,0.0
t242,0.0,0.0,0.0
t243,0.0,0.0,0.0
t244,0.0,0.0,0.0
t245,0.0,0.0,0.0
t246,0.0,0.0,0.0
t247,0.0,0.0,0.0
t248,0.0,0.0,0.0
t249,0.0,0.0,0.0
t250,0.0,0.0,0.0
t251,0.0,0.0,0.0
t252,0.0,0.0,0.0
t253,0.0,0.0,0.0
t254,0.0,0.0,0.0
t255,1.520239489849473e-13,0.0,0.0
t256,-5.551115123125783e-14,0.0,0.0
t257,343.1063630699616,0.0,0.0
t258,1899.8641067198625,0.0,0.0
t259,1987.8665645478154,0.0,0.0
t260,930.3215522083777,0.0,0.0
t261,930.3215522083777,0.0,0.0
t262,930.3215522083777,0.0,0.0
t263,712.4995889711645,0.0,0.0
t264,0.0,0.0,0.0
t265,0.0,0.0,0.0
t266,0.0,0.0,0.0
t267,0.0,0.0,0.0
t268,0.0,0.0,0.0
t269,0.0,0.0,0.0
t270,0.0,0.0,0.0
t271,336.171991027886,0.0,0.0
t272,629.658086181194,0.0,0.0
t273,277.4455569422461,0.0,0.0
t274,277.4455569422461,0.0,0.0
t275,277.4455569422461,0.0,0.0
t276,277.4455569422461,0.0,0.0
t277,277.4455569422461,0.0,0.0
t278,277.4455569422461,0.0,0.0
t279,277.4455569422461,0.0,0.0
t280,277.4455569422461,0.0,0.0
t281,1415.3802628191668,0.0,0.0
t282,2136.4665645478144,0.0,0.0
t283,1913.5665645478196,0.0,0.0
t284,722.4207952661311,0.0,0.0
t285,722.4207952661311,0.0,0.0
t286,722.4207952661311,0.0,0.0
t287,0.0,0.0,0.0
t288,0.0,0.0,0.0
t289,0.0,0.0,0.0
t290,0.0,0.0,0.0
t291,0.0,0.0,0.0
t292,0.0,0.0,0.0
t293,0.0,0.0,0.0
t294,0.0,0.0,0.0
t295,0.0,0.0,0.0
t296,0.0,0.0,0.0
t297,0.0,0.0,0.0
t298,0.0,0.0,0.0
t299,0.0,0.0,0.0
t300,0.0,0.0,0.0
t301,0.0,0.0,0.0
t302,0.0,0.0,0.0
t303,0.0,0.0,0.0
t304,0.0,0.0,0.0
t305,0.0,0.0,0.0
t306,0.0,0.0,0.0
t307,0.0,0.0,0.0
t308,0.0,0.0,0.0
t309,0.0,0.0,0.0
t310,0.0,0.0,0.0
t311,0.0,0.0,0.0
t312,0.0,0.0,0.0
t313,0.0,0.0,0.0
t314,0.0,0.0,0.0
t315,0.0,0.0,0.0
t316,0.0,0.0,0.0
t317,0.0,0.0,0.0
t318,0.0,0.0,0.0
t319,0.0,0.0,0.0
t320,0.0,0.0,0.0
t321,0.0,0.0,0.0
t322,0.0,0.0,0.0
t323,0.0,0.0,0.0
t324,0.0,0.0,0.0
t325,0.0,0.0,0.0
t326,0.0,0.0,0.0
t327,0.0,0.0,0.0
t328,0.0,0.0,0.0
t329,0.0,0.0,0.0
t330,0.0,0.0,0.0
t331,0.0,0.0,0.0
t332,0.0,0.0,0.0
t333,0.0,0.0,0.0
t334,0.0,0.0,0.0
t335,0.0,0.0,0.0
t336,0.0,0.0,0.0
t337,0.0,0.0,0.0
t338,0.0,0.0,0.0
t339,0.0,0.0,0.0
t340,0.0,0.0,0.0
t341,0.0,0.0,0.0
t342,0.0,0.0,0.0
t343,0.0,0.0,0.0
t344,0.0,0.0,0.0
t345,0.0,0.0,0.0
t346,0.0,0.0,0.0
t347,0.0,0.0,0.0
t348,0.0,0.0,0.0
t349,0.0,0.0,0.0
t350,0.0,0.0,0.0
t351,0.0,0.0,0.0
t352,0.0,0.0,0.0
t353,868.394334213172,0.0,0.0
t354,1148.2765645478196,0.0,0.0
t355,1177.9965645478137,0.0,0.0
t356,551.3023922083769,0.0,0.0
t357,551.3023922083769,0.0,0.0
t358,551.3023922083769,0.0,0.0
t359,0.0,0.0,0.0
t360,0.0,0.0,0.0
t361,0.0,0.0,0.0
t362,0.0,0.0,0.0
t363,0.0,0.0,0.0
t364,0.0,0.0,0.0
t365,0.0,0.0,0.0
t366,0.0,0.0,0.0
t367,0.0,0.0,0.0
t368,0.0,0.0,0.0
t369,0.0,0.0,0.0
t370,0.0,0.0,0.0
t371,0.0,0.0,0.0
t372,0.0,0.0,0.0
t373,0.0,0.0,0.0
t374,0.0,0.0,0.0
t375,0.0,0.0,0.0
t376,0.0,0.0,0.0
t377,3541.287454213173,0.0,0.0
t378,4803.836564547815,0.0,0.0
t379,4060.8365645478198,0.0,0.0
t380,2248.1955122083773,0.0,0.0
t381,2248.1955122083773,0.0,0.0
t382,2248.1955122083773,0.0,0.0
t383,0.0,0.0,0.0
t384,0.0,0.0,0.0
t385,0.0,0.0,0.0
t386,0.0,0.0,0.0
t387,0.0,0.0,0.0
t388,0.0,0.0,0.0
t389,0.0,0.0,0.0
t390,0.0,0.0,0.0
t391,0.0,0.0,0.0
t392,0.0,0.0,0.0
t393,0.0,0.0,0.0
t394,0.0,0.0,0.0
t395,0.0,0.0,0.0
t396,0.0,0.0,0.0
t397,0.0,0.0,0.0
t398,0.0,0.0,0.0
t399,0.0,0.0,0.0
t400,0.0,0.0,0.0
t401,0.0,0.0,0.0
t402,0.0,0.0,0.0
t403,0.0,0.0,0.0
t404,0.0,0.0,0.0
t405,0.0,0.0,0.0
t406,0.0,0.0,0.0
t407,0.0,0.0,0.0
t408,0.0,0.0,0.0
t409,0.0,0.0,0.0
t410,0.0,0.0,0.0
t411,0.0,0.0,0.0
t412,0.0,0.0,0.0
t413,0.0,0.0,0.0
t414,0.0,0.0,0.0
t415,0.0,0.0,0.0
t416,0.0,0.0,0.0
t417,0.0,0.0,0.0
t418,0.0,0.0,0.0
t419,0.0,0.0,0.0
t420,0.0,0.0,0.0
t421,0.0,0.0,0.0
t422,0.0,0.0,0.0
t423,1.520239489849473e-13,0.0,0.0
t424,-5.551115123125783e-14,0.0,0.0
t425,343.1063630699616,0.0,0.0
t426,1899.8641067198625,0.0,0.0
t427,1987.8665645478154,0.0,0.0
t428,930.3215522083777,0.0,0.0
t429,930.3215522083777,0.0,0.0
t430,930.3215522083777,0.0,0.0
t431,712.4995889711645,0.0,0.0
t432,0.0,0.0,0.0
t433,0.0,0.0,0.0
t434,0.0,0.0,0.0
t435,0.0,0.0,0.0
t436,0.0,0.0,0.0
t437,0.0,0.0,0.0
t438,0.0,0.0,0.0
t439,336.1719910278841,0.0,0.0
t440,629.6580861811904,0.0,0.0
t441,277.4455569422446,0.0,0.0
t442,277.4455569422446,0.0,0.0
t443,277.4455569422446,0.0,0.0
t444,277.4455569422446,0.0,0.0
t445,277.4455569422446,0.0,0.0
t446,277.4455569422446,0.0,0.0
t447,277.4455569422446,0.0,0.0
t448,277.4455569422446,0.0,0.0
t449,1415.380262819168,0.0,0.0
t450,2136.466564547815,0.0,0.0
t451,1913.5665645478196,0.0,0.0
