Resource,Fuel,Zone,AnnualSumCosts
MA_natural_gas_combined_cycle,MA_NG,1,1.8907698734677207e8
CT_natural_gas_combined_cycle,CT_NG,2,8.983757455234835e7
ME_natural_gas_combined_cycle,ME_NG,3,8.918776283434663e6
