Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,Total
t190,0.6341838840095902,-0.0,-0.0,0.6341838840095902
t191,-0.0,-0.0,-0.0,0.0
t192,-0.0,-0.0,-0.0,0.0
t193,-0.0,-0.0,-0.0,0.0
t194,-0.0,-0.0,-0.0,0.0
t195,-0.0,-0.0,-0.0,0.0
t196,-0.0,-0.0,-0.0,0.0
t197,-0.0,-0.0,-0.0,0.0
t198,-0.0,-0.0,-0.0,0.0
t199,-0.0,-0.0,-0.0,0.0
t200,-0.0,-0.0,-0.0,0.0
t201,-0.0,-0.0,-0.0,0.0
t202,-0.0,-0.0,-0.0,0.0
t203,-0.0,-0.0,-0.0,0.0
t204,-0.0,-0.0,-0.0,0.0
t205,-0.0,-0.0,-0.0,0.0
t206,-0.0,-0.0,-0.0,0.0
t207,-0.0,-0.0,-0.0,0.0
t208,-0.0,-0.0,-0.0,0.0
t209,2.586183884009591,-0.0,-0.0,2.586183884009591
t210,2.586183884009591,-0.0,-0.0,2.586183884009591
t211,2.586183884009591,-0.0,-0.0,2.586183884009591
t212,2.586183884009591,-0.0,-0.0,2.586183884009591
t213,2.586183884009591,-0.0,-0.0,2.586183884009591
t214,2.586183884009591,-0.0,-0.0,2.586183884009591
t215,-0.0,-0.0,-0.0,0.0
t216,-0.0,-0.0,-0.0,0.0
t217,-0.0,-0.0,0.0,0.0
t218,-0.0,-0.0,-0.0,0.0
t219,-0.0,-0.0,-0.0,0.0
t220,-0.0,-0.0,-0.0,0.0
t221,-0.0,-0.0,-0.0,0.0
t222,-0.0,-0.0,-0.0,0.0
t223,-0.0,-0.0,-0.0,0.0
t224,-0.0,-0.0,-0.0,0.0
t225,-0.0,-0.0,-0.0,0.0
t226,-0.0,-0.0,-0.0,0.0
t227,-0.0,-0.0,-0.0,0.0
t228,0.0,-0.0,-0.0,0.0
t229,-0.0,-0.0,-0.0,0.0
t230,-0.0,-0.0,-0.0,0.0
t231,-0.0,-0.0,-0.0,0.0
t232,-0.0,-0.0,-0.0,0.0
t233,-0.0,-0.0,-0.0,0.0
t234,-0.0,-0.0,-0.0,0.0
t235,-0.0,-0.0,-0.0,0.0
t236,-0.0,-0.0,-0.0,0.0
t237,-0.0,-0.0,-0.0,0.0
t238,-0.0,-0.0,-0.0,0.0
t239,-0.0,-0.0,-0.0,0.0
t240,-0.0,-0.0,-0.0,0.0
t241,-0.0,-0.0,0.0,0.0
t242,-0.0,-0.0,-0.0,0.0
t243,-0.0,-0.0,-0.0,0.0
t244,-0.0,-0.0,-0.0,0.0
t245,-0.0,-0.0,-0.0,0.0
t246,-0.0,-0.0,-0.0,0.0
t247,-0.0,-0.0,-0.0,0.0
t248,-0.0,-0.0,-0.0,0.0
t249,-0.0,-0.0,-0.0,0.0
t250,-0.0,-0.0,-0.0,0.0
t251,-0.0,-0.0,-0.0,0.0
t252,-0.0,-0.0,-0.0,0.0
t253,-0.0,-0.0,-0.0,0.0
t254,-0.0,-0.0,-0.0,0.0
t255,1.1102230246251565e-16,-0.0,-0.0,1.1102230246251565e-16
t256,-0.0,-0.0,-0.0,0.0
t257,0.25056879966549694,-0.0,-0.0,0.25056879966549694
t258,1.0701838840095912,-0.0,-0.0,1.0701838840095912
t259,1.0701838840095912,-0.0,-0.0,1.0701838840095912
t260,1.0701838840095912,-0.0,-0.0,1.0701838840095912
t261,1.0701838840095912,-0.0,-0.0,1.0701838840095912
t262,1.0701838840095912,-0.0,-0.0,1.0701838840095912
t263,0.8196150843440942,-0.0,-0.0,0.8196150843440942
t264,-0.0,-0.0,-0.0,0.0
t265,-0.0,-0.0,-0.0,0.0
t266,-0.0,-0.0,-0.0,0.0
t267,-0.0,-0.0,-0.0,0.0
t268,-0.0,-0.0,-0.0,0.0
t269,-0.0,-0.0,-0.0,0.0
t270,-0.0,-0.0,-0.0,0.0
t271,0.24550466368308566,-0.0,-0.0,0.24550466368308566
t272,0.31915606278801134,-0.0,-0.0,0.31915606278801134
