Resource,Fuel,Zone,AnnualSumCosts
MA_natural_gas_combined_cycle,MA_NG,1,2.1099665688074967e8
CT_natural_gas_combined_cycle,CT_NG,2,5.761701190742106e7
ME_natural_gas_combined_cycle,ME_NG,3,2.6043103822158646e7
