Resource,MA_battery,CT_battery,ME_battery,Total
Zone,1,2,3,0
AnnualSum,7.458869323278335e6,7.3297300315870335e6,8.298243973144032e6,2.30868433280094e7
t1,0.0,0.0,1060.171216057196,1060.171216057196
t2,69.44203719016568,0.0,0.0,69.44203719016568
t3,620.2904959331221,0.0,4156.898518875955,4777.189014809077
t4,0.0,0.0,2018.9694019267258,2018.9694019267258
t5,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,0.0
t9,2357.9805880079475,2160.813365186282,0.0,4518.79395319423
t10,2895.8437335655512,577.8193902627552,0.0,3473.663123828306
t11,2895.8437335655512,1612.0938178611445,0.0,4507.937551426696
t12,2895.8437335655512,2239.232910137012,0.0,5135.076643702563
t13,2895.8437335655512,3245.854758912661,0.0,6141.698492478212
t14,2895.8437335655512,1088.935794745008,0.0,3984.7795283105593
t15,1273.190090357477,0.0,0.0,1273.190090357477
t16,979.2152041718347,0.0,0.0,979.2152041718347
t17,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,0.0
t19,0.0,0.0,0.0,0.0
t20,0.0,0.0,5465.1274416941615,5465.1274416941615
t21,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,0.0
t23,0.0,0.0,0.0,0.0
t24,0.0,0.0,0.0,0.0
t25,897.6827199744987,0.0,0.0,897.6827199744987
t26,1901.0628090048858,1994.20072321002,0.0,3895.263532214906
t27,2017.2554431482404,1238.3572542697516,5599.325291874628,8854.93798929262
t28,2011.1932187581524,1759.710471145878,0.0,3770.90368990403
t29,1768.7042431546283,2345.6247523978673,0.0,4114.328995552496
t30,1030.1232382955661,1224.1152566165604,0.0,2254.2384949121265
t31,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,0.0
t33,0.0,0.0,5599.325291874628,5599.325291874628
t34,2572.52132302888,2841.8783651461654,0.0,5414.399688175045
t35,2632.7111552453925,0.0,0.0,2632.7111552453925
t36,2846.7891348686353,0.0,0.0,2846.7891348686353
t37,2743.5700226633558,707.8290925944319,0.0,3451.399115257788
t38,1931.8605108873007,3116.1046056345467,0.0,5047.965116521847
t39,1776.5291579086143,1463.6967137583206,5566.97170528526,8807.197576952196
t40,478.17828378288317,1179.1581593271321,0.0,1657.3364431100154
t41,0.0,0.0,0.0,0.0
t42,0.0,0.0,0.0,0.0
t43,0.0,0.0,0.0,0.0
t44,0.0,606.2118245373664,0.0,606.2118245373664
t45,0.0,1229.8556259666568,0.0,1229.8556259666568
t46,0.0,988.0818119530747,5599.325291874628,6587.407103827703
t47,535.041579771704,786.4079129744753,0.0,1321.4494927461792
t48,1453.4685748700474,2146.595621401758,0.0,3600.0641962718055
t49,2037.4628577818673,2553.8936672550426,0.0,4591.35652503691
t50,2407.258545577239,2703.74482706592,0.0,5111.003372643159
t51,2588.1149065482,2793.166236918756,0.0,5381.281143466957
t52,2634.591960205543,1214.3594640572833,0.0,3848.951424262826
t53,400.07164962534046,0.0,5599.325291874628,5999.396941499969
t54,0.0,0.0,0.0,0.0
t55,0.0,0.0,0.0,0.0
t56,0.0,0.0,0.0,0.0
t57,779.9185924385146,1215.0647682365222,0.0,1994.9833606750367
t58,2895.8437335655512,3185.690780865656,0.0,6081.534514431207
t59,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t60,2895.8437335655512,6497.372320405344,5599.325291874628,14992.541345845522
t61,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t62,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t63,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t64,2895.8437335655512,1640.6395430757684,0.0,4536.48327664132
t65,1304.465783209519,3812.1382439099953,0.0,5116.604027119514
t66,0.0,0.0,0.0,0.0
t67,0.0,0.0,0.0,0.0
t68,0.0,0.0,5599.325291874628,5599.325291874628
t69,0.0,0.0,0.0,0.0
t70,0.0,0.0,0.0,0.0
t71,852.2979895196468,618.4180887676227,0.0,1470.7160782872695
t72,1698.9886626686166,1514.679822643032,0.0,3213.6684853116485
t73,2243.5784870448615,1842.7135007269726,0.0,4086.291987771834
t74,2517.3889553305053,170.32997545075813,4544.925851508562,7232.644782289825
t75,2639.643813863949,721.1989323717329,0.0,3360.842746235682
t76,2633.581589473861,2580.2739899160015,0.0,5213.855579389863
t77,2402.2066919188323,2553.5075057700888,0.0,4955.714197688922
t78,1653.5219797429545,97.76569009572711,0.0,1751.2876698386817
t79,235.97184319402766,1775.010150078753,0.0,2010.9819932727805
t80,0.0,0.0,0.0,0.0
t81,2015.1472539786841,2188.6446144582374,0.0,4203.7918684369215
t82,2895.8437335655512,4338.114893749598,5599.325291874628,12833.283919189776
t83,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t84,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t85,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t86,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t87,2895.8437335655512,6497.372320405344,0.0,9393.216053970895
t88,2895.8437335655512,3327.5882192268787,0.0,6223.43195279243
t89,0.0,0.0,0.0,0.0
t90,0.0,0.0,5599.325291874628,5599.325291874628
t91,0.0,0.0,0.0,0.0
t92,0.0,0.0,0.0,0.0
t93,0.0,0.0,0.0,0.0
t94,0.0,0.0,0.0,0.0
t95,0.0,0.0,0.0,0.0
t96,0.0,0.0,0.0,0.0
t97,0.0,0.0,4252.1196802916975,4252.1196802916975
t98,0.0,0.0,0.0,0.0
t99,0.0,0.0,0.0,0.0
t100,0.0,0.0,0.0,0.0
t101,0.0,0.0,0.0,0.0
t102,0.0,0.0,0.0,0.0
t103,0.0,0.0,3846.6442333517234,3846.6442333517234
t104,0.0,0.0,0.0,0.0
t105,0.0,0.0,0.0,0.0
t106,0.0,0.0,1848.3902952334086,1848.3902952334086
t107,2463.5656117792446,0.0,0.0,2463.5656117792446
t108,1906.282721876363,0.0,0.0,1906.282721876363
t109,1151.6331299469737,0.0,0.0,1151.6331299469737
t110,0.0,0.0,0.0,0.0
t111,0.0,0.0,0.0,0.0
t112,0.0,0.0,0.0,0.0
t113,0.0,0.0,0.0,0.0
t114,0.0,0.0,0.0,0.0
t115,0.0,0.0,0.0,0.0
t116,0.0,0.0,0.0,0.0
t117,0.0,0.0,0.0,0.0
t118,0.0,0.0,0.0,0.0
t119,0.0,0.0,0.0,0.0
t120,0.0,0.0,0.0,0.0
t121,1636.3643977748811,0.0,0.0,1636.3643977748811
t122,2252.671823629994,1250.8658771681187,0.0,3503.5377007981124
t123,2405.2378041138772,1269.443751168069,0.0,3674.681555281946
t124,2459.79782362467,107.4753979129035,0.0,2567.2732215375736
t125,1193.5866831760625,0.0,0.0,1193.5866831760625
t126,1392.1783761858446,0.0,0.0,1392.1783761858446
t127,339.0296578255238,146.86254531248366,0.0,485.8922031380075
t128,0.0,0.0,5521.3440216102945,5521.3440216102945
t129,0.0,0.0,0.0,0.0
t130,0.0,0.0,0.0,0.0
t131,0.0,0.0,0.0,0.0
t132,0.0,0.0,0.0,0.0
t133,0.0,0.0,0.0,0.0
t134,0.0,0.0,0.0,0.0
t135,0.0,0.0,0.0,0.0
t136,0.0,0.0,0.0,0.0
t137,0.0,0.0,5599.325291874628,5599.325291874628
t138,0.0,0.0,0.0,0.0
t139,0.0,207.0978296591983,0.0,207.0978296591983
t140,0.0,1617.065849023648,0.0,1617.065849023648
t141,0.0,2283.496502257961,0.0,2283.496502257961
t142,0.0,2442.572946390877,2587.026458780317,5029.599405171194
t143,689.6283017189528,2652.7685687721655,0.0,3342.3968704911185
t144,1433.2611602364232,2864.9853029071205,0.0,4298.246463143543
