Resource,Fuel,Zone,AnnualSumCosts
MA_natural_gas_combined_cycle,MA_NG,1,2.1814590351854044e8
CT_natural_gas_combined_cycle,CT_NG,2,8.569961320909715e7
ME_natural_gas_combined_cycle,ME_NG,3,1.1416062333578728e7
