Resource,Fuel,Zone,AnnualSumCosts
MA_natural_gas_combined_cycle,MA_NG,1,2.111913269828698e8
CT_natural_gas_combined_cycle,CT_NG,2,5.778080360978715e7
ME_natural_gas_combined_cycle,ME_NG,3,2.5672974539637975e7
