Zone,1,2,3
t1,136.29206065685122,134.62512926700077,0.10000000000000003
t2,115.0806401399589,113.67313679391758,0.10000000000000003
t3,115.0806401399589,113.66974941158946,0.1
t4,136.29206065685125,134.62512926700077,0.10000000000000003
t5,136.29206065685122,134.62512926700077,0.10000000000000003
t6,136.29206065685125,134.62512926700077,0.10000000000000003
t7,136.29206065685122,134.62512926700077,0.1
t8,136.29206065685122,134.62512926700077,0.10000000000000003
t9,115.0806401399589,113.66974941158946,0.1
t10,115.07721081498633,113.66974941158946,0.44536862003780714
t11,115.07721081498633,113.66974941158946,0.44536862003780714
t12,115.07721081498633,113.66974941158946,0.44536862003780714
t13,115.07721081498633,113.66974941158946,0.44536862003780714
t14,115.07721081498633,113.66974941158946,0.44536862003780714
t15,115.0806401399589,113.67313679391758,0.44536862003780714
t16,115.0806401399589,113.67313679391758,0.44536862003780714
t17,136.29206065685122,134.62512926700077,0.44536862003780714
t18,136.29206065685122,134.62512926700077,0.1
t19,136.29206065685122,113.66974941158946,0.10000000000000003
t20,136.29206065685122,134.62512926700077,0.10000000000000003
t21,136.29206065685125,134.62512926700077,0.1
t22,136.29206065685122,134.62512926700077,0.1
t23,136.29206065685122,113.66974941158946,0.1
t24,136.29206065685125,134.62512926700077,0.1
t25,115.0806401399589,113.66974941158946,0.1
t26,115.0806401399589,113.66974941158946,0.1
t27,115.0806401399589,113.66974941158946,0.1
t28,115.0806401399589,113.66974941158946,0.1
t29,115.0806401399589,113.66974941158946,0.1
t30,115.0806401399589,113.66974941158946,0.1
t31,136.29206065685122,134.62512926700077,0.1
t32,136.29206065685125,134.62512926700077,0.1
t33,136.29206065685122,134.62512926700077,0.1
t34,115.0806401399589,113.66974941158946,0.1
t35,115.0806401399589,113.66974941158946,0.1
t36,115.0806401399589,113.66974941158946,0.1
t37,115.0806401399589,113.66974941158946,0.10000000000000003
t38,115.0806401399589,113.66974941158946,0.1
t39,115.0806401399589,113.66974941158946,0.1
t40,136.29206065685122,113.66974941158946,0.1
t41,136.29206065685122,134.62512926700077,0.1
t42,264.0458768765957,134.62512926700077,0.1
t43,136.6175564458238,113.66974941158946,0.1
t44,136.29206065685122,113.66974941158946,0.1
t45,136.29206065685122,113.66974941158946,0.1
t46,136.29206065685122,113.66974941158946,0.1
t47,136.29206065685122,113.66974941158946,0.1
t48,115.0806401399589,113.66974941158946,0.1
t49,115.0806401399589,113.66974941158946,0.1
t50,115.0806401399589,113.66974941158946,0.1
t51,115.0806401399589,113.66974941158946,0.1
t52,115.0806401399589,113.66974941158946,0.1
t53,115.0806401399589,113.67313679391758,0.1
t54,136.29206065685125,134.62512926700077,0.1
t55,136.29206065685122,134.62512926700077,0.1
t56,136.29206065685125,134.62512926700077,0.1
t57,136.29206065685122,113.66974941158946,0.1
t58,115.07721081498633,113.66974941158946,0.1
t59,0.10198489006280309,0.1,0.1
t60,0.10198489006280309,0.1,0.1
t61,0.10198489006280309,0.1,0.1
t62,0.10198489006280309,0.10073755537788583,0.1
t63,0.10198489006280309,0.1,0.1
t64,115.07721081498633,113.66974941158946,0.1
t65,115.0806401399589,113.66974941158946,0.1
t66,136.29206065685122,134.62512926700077,0.1
t67,136.29206065685122,134.62512926700077,0.1
t68,136.29206065685125,134.62512926700077,0.1
t69,136.29206065685122,134.62512926700077,0.1
t70,136.29206065685122,113.66974941158946,0.1
t71,136.29206065685122,113.66974941158946,0.1
t72,115.0806401399589,113.66974941158946,0.1
t73,115.0806401399589,113.66974941158946,0.1
t74,115.0806401399589,113.66974941158946,0.1
t75,115.0806401399589,113.66974941158946,0.1
t76,115.0806401399589,113.66974941158946,0.1
t77,115.0806401399589,113.66974941158946,0.1
t78,115.0806401399589,113.66974941158946,0.1
t79,136.29206065685122,113.66974941158946,0.1
t80,136.29206065685122,113.66974941158946,0.1
t81,115.0806401399589,113.66974941158946,0.1
t82,115.07721081498633,113.66974941158946,0.1
t83,0.10198489006280309,0.1,0.1
t84,0.10198489006280309,0.1,0.1
t85,0.10198489006280309,0.1,0.1
t86,0.10198489006280309,0.1,0.1
t87,0.10198489006280309,0.1,0.1
t88,115.07721081498633,113.66974941158946,0.1
t89,136.29206065685125,134.62512926700077,0.1
t90,136.29206065685122,134.62512926700077,0.1
t91,136.29206065685122,134.62512926700077,0.1
t92,136.29206065685122,134.62512926700077,0.1
t93,136.29206065685122,134.62512926700077,0.1
t94,136.29206065685122,134.62512926700077,0.1
t95,136.29206065685125,134.62512926700077,0.44536862003780714
t96,136.29206065685125,134.62512926700077,0.1
t97,136.29206065685125,134.62512926700077,0.10000000000000003
t98,136.29206065685122,134.62512926700077,0.1
t99,136.29206065685125,134.62512926700077,0.1
t100,136.29206065685125,134.62512926700077,0.10000000000000003
t101,136.29206065685125,134.62512926700077,0.1
t102,136.29206065685125,134.62512926700077,0.1
t103,136.29206065685122,134.62512926700077,0.1
t104,264.1982089058349,260.96691072569934,0.10000000000000003
t105,136.29206065685122,134.62512926700077,0.1
t106,136.29206065685122,134.62512926700074,0.1
t107,115.0806401399589,113.67313679391758,0.44536862003780714
t108,115.0806401399589,113.67313679391758,0.44536862003780714
t109,115.0806401399589,113.67313679391758,0.44536862003780714
t110,136.29206065685125,134.62512926700077,0.44536862003780714
t111,136.29206065685125,134.62512926700077,0.44536862003780714
