Region,Resource,Zone,Cluster,AnnualSum
MA,MA_natural_gas_combined_cycle,1,1,1.61150044839828e9
CT,CT_natural_gas_combined_cycle,2,1,4.954352507840132e8
ME,ME_natural_gas_combined_cycle,3,1,1.242434013799814e8
MA,MA_solar_pv,1,1,1.2530791067954195e9
CT,CT_onshore_wind,2,1,1.5751507476105053e9
CT,CT_solar_pv,2,1,1.3706361935673628e9
ME,ME_onshore_wind,3,1,1.9101312415672448e9
MA,MA_battery,1,0,5.979780808407797e8
CT,CT_battery,2,0,7.24185772999191e8
ME,ME_battery,3,0,6.621239224802954e8
