Resource,Fuel,Zone,AnnualSumCosts
MA_natural_gas_combined_cycle,MA_NG,1,2.1176768629016653e8
CT_natural_gas_combined_cycle,CT_NG,2,8.584850098657426e7
ME_natural_gas_combined_cycle,ME_NG,3,8.376284895812805e6
