BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3
t14,6318.37985138924,0.0,-2895.8437335655512,0.0,0.0,0.0,0.0,7076.168441641585,-52.481564611838934,-10446.222994853435,7174.027937990925,480.8889331926039,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2984.171504288206,444.7827631283979,3436.722863917159,-0.0,0.0,0.0,0.0,0.0,-2433.9860446967978,-23.91859466130301,-1423.6009876874562
t15,5092.515416719095,0.0,-2895.8437335655512,0.0,0.0,0.0,0.0,8282.566565705329,-64.33674668755685,-10414.901502171315,5642.585562766931,2003.2363055250999,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2975.076501396708,806.477316065086,4289.240166480649,-0.0,0.0,0.0,0.0,0.0,-3640.3841687605413,-35.773776737020924,-1419.559537048173
t16,3749.8446459359807,0.0,-1891.0682035886566,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-10433.088175341578,6727.73106383481,923.1435838413868,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2980.1292807808736,1965.0242486361021,3496.874070391533,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1422.5906250276355
t17,1373.4791606188833,972.2959743988531,-0.0,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-10920.086868011987,5290.823995578539,2498.4968072237943,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-3118.575435907011,4961.92074711488,566.6615074609253,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1489.2745605758057
t18,176.38795753107178,2895.8437335655512,-0.0,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-11646.543424090874,5249.236371974446,2748.2589414555105,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-3326.749946534634,5626.58743257842,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1587.27973857842
t19,180.4294404577983,2895.8437335655512,-0.0,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-11650.584907017601,8785.256360617925,0.0,-786.7504913111343,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-3327.760502411467,5627.597795238241,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1588.2901012382406
t20,84.4409781342496,2778.643971504335,-0.0,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-11437.396682632836,3986.5107063955766,3951.361810301226,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-3267.12714980148,5599.307640763259,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1559.9999467632592
t21,84.4409781342496,2359.340117856577,-0.0,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-11018.092828985078,6765.051485464315,1053.5754377661788,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-3147.8815563351714,5541.7169691534755,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1502.4092751534758
t22,84.4409781342496,1669.2569081182178,-0.0,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-10328.009619246719,5903.833413288839,1717.735113959196,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2950.823160352713,11037.78705013492,0.0,-5591.044171004598,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1407.435185130324
t23,23.527862496168733,958.2467847517496,-0.0,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-9556.08638024217,7680.79070215915,0.0,-280.5339119375676,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2729.5114233262593,5341.665162508964,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1302.3574685089645
t24,0.0,198.73733019487435,-0.0,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-8773.049063189126,6927.102405914516,248.81097965011395,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2505.1680186693065,5235.577083227784,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1196.2693892277844
t25,0.0,0.0,-364.03916735162846,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-8210.272565642617,7016.245557024997,0.0,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2345.5001901296737,5158.789521081407,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1119.4818270814062
t26,0.0,0.0,-650.9844551491171,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-7923.327277845115,10193.137550589377,0.0,-3259.757575464697,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2262.6346082293576,5119.385377348396,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1080.0776833483965
t27,0.0,0.0,-767.17708929247,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-7807.13464370176,6901.04218706602,0.0,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2230.2968201706976,5104.229937451085,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1064.922243451085
t28,0.0,0.0,-761.114864902376,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-7813.196868091848,9928.330622220243,0.0,-3025.267323400555,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2232.317931924364,5105.240300110906,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1065.932606110906
t29,0.0,0.0,-518.625889298868,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-8055.685843695372,10582.962703096882,0.0,-3611.1816046525437,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2301.0357315490164,5137.571905225171,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1098.2642112251701
t30,0.0,219.95511556018272,-0.0,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-8794.266848554435,9671.648829696866,0.0,-2489.6721088712375,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2511.2313539303054,5237.597808547426,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1198.290114547426
t31,0.0,1563.7481886963733,-0.0,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-10138.059921690625,7237.7459865704595,328.24196745175414,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-2895.242587126891,5421.483812634805,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1382.1761186348049
t32,0.0,2318.4951252623387,-0.0,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-10892.80685825659,2862.993380600987,4919.253531063515,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-3111.501544769179,5523.530441276702,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1484.222747276702
t33,1312.5660449808024,1168.5987680822336,-0.0,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-11055.476546057287,5384.513313929359,2445.2297239462987,-0.0,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-3158.997670980336,5546.768782452579,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1507.4610884525796
t34,3895.5515188191707,0.0,-1322.4429691731727,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-11147.42028264029,11962.44215219733,0.0,-4107.435217400844,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-3184.2615679011637,5558.893134370429,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1519.5854403704288
t35,4290.525521345504,0.0,-1630.5250887748907,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-11234.312165564885,8894.865988688001,0.0,-1014.5951569706867,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-3209.525464821992,5571.017486288278,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1531.7097922882779
t36,4556.651297437942,0.0,-1912.8167965742327,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-11218.146233857984,8819.744301328654,0.0,-945.5368048723367,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-3203.462129560993,5568.996760968636,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1529.6890669686363
t37,4029.2165013814356,0.0,-1493.491668807616,0.0,0.0,0.0,0.0,8642.182396944787,-67.87066395053591,-11110.03656556808,9817.276765000433,0.0,-1973.3859448491103,0.0,0.0,0.0,0.0,-4642.182396944787,-28.562969950535923,-3173.1454532559997,5553.841321071325,0.0,-0.0,0.0,0.0,0.0,0.0,-4000.0,-39.307694,-1514.5336270713249
