Region,Resource,Zone,Cluster,AnnualSum
MA,MA_natural_gas_combined_cycle,1,1,0.0
CT,CT_natural_gas_combined_cycle,2,1,0.0
ME,ME_natural_gas_combined_cycle,3,1,0.0
MA,MA_solar_pv,1,1,0.0
CT,CT_onshore_wind,2,1,0.0
CT,CT_solar_pv,2,1,0.0
ME,ME_onshore_wind,3,1,0.0
MA,MA_battery,1,0,1.051902256349354e11
CT,CT_battery,2,0,7.319134955329333e10
ME,ME_battery,3,0,8.645392965874748e10
